num_stroke,start_point_x,start_point_y,end_point_y,num_brush,num_physical_stroke,end_point_x,theta_deg,g,theta_rad,b,r,Unnamed: 0,Unnamed: 0.1
280.0,372.9976200686564,137.2593133897399,162.52881467572809,3.0,837.0,399.717917060112,133.40155363082886,124.0,2.32829633813376,184.0,255.0,836.0,836.0
280.0,364.6706970202068,146.06430935548718,171.33381064147537,3.0,838.0,391.3909940116624,133.40155363082886,124.0,2.32829633813376,184.0,255.0,837.0,837.0
280.0,360.5072354959819,150.46680733836078,175.73630862434894,3.0,839.0,387.2275324874376,133.40155363082886,124.0,2.32829633813376,184.0,255.0,838.0,838.0
282.0,198.496905395824,68.78642378808455,52.463976698222034,3.0,844.0,203.8003900305176,18.000000268220898,48.0,0.3141592700403172,120.0,186.0,843.0,843.0
282.0,206.3275845814481,71.33076573090307,55.00831864104055,3.0,845.0,211.6310692161417,18.000000268220898,48.0,0.3141592700403172,120.0,186.0,844.0,844.0
284.0,496.4169145141361,272.1102938920095,248.7925123350631,3.0,848.0,503.99332113512696,18.000000268220898,22.0,0.3141592700403172,80.0,145.0,847.0,847.0
284.0,504.2475936997603,274.654635834828,251.3368542778816,3.0,849.0,511.8240003207512,18.000000268220898,22.0,0.3141592700403172,80.0,145.0,848.0,848.0
291.0,190.19085417745185,130.5441592566116,146.41144260197188,3.0,865.0,204.32371966320355,138.30879449844358,102.0,2.41394384846206,132.0,241.0,864.0,864.0
291.0,189.40259672856897,131.24625401667402,147.11353736203424,3.0,866.0,203.53546221432072,138.30879449844358,102.0,2.41394384846206,132.0,241.0,865.0,865.0
292.0,491.4468385242584,40.05615818615576,62.332757565587656,3.0,867.0,529.5438823981111,120.31623601913452,121.0,2.0999144621404926,218.0,217.0,866.0,866.0
292.0,485.1496795663761,50.82544738568082,73.10204676511272,3.0,868.0,523.2467234402291,120.31623601913452,121.0,2.0999144621404926,218.0,217.0,867.0,867.0
293.0,297.3282256474909,461.6259763411271,469.664537223541,3.0,869.0,334.05265219139403,102.3466694355011,106.0,1.7862863600997403,220.0,223.0,868.0,868.0
293.0,295.3275750020756,470.76601381080735,478.8045746932213,3.0,870.0,332.05200154597856,102.3466694355011,106.0,1.7862863600997403,220.0,223.0,869.0,869.0
294.0,87.22631325054579,104.69020018671068,105.2529271569745,3.0,871.0,97.83576565191942,93.03613185882568,71.0,1.6237868242561004,111.0,171.0,870.0,870.0
294.0,86.5655530145925,117.1479366068805,117.7106635771443,3.0,872.0,97.17500541596613,93.03613185882568,71.0,1.6237868242561004,111.0,171.0,871.0,871.0
296.0,422.5742320840709,136.62335335162095,145.19563169006938,3.0,875.0,436.4911597977494,121.63143038749696,155.0,2.122868934172104,179.0,254.0,874.0,874.0
296.0,421.45262951394096,138.44425338259208,147.0165317210405,3.0,876.0,435.36955722761945,121.63143038749696,155.0,2.122868934172104,179.0,254.0,875.0,875.0
