num_physical_stroke,end_point_x,b,g,start_point_x,num_brush,num_stroke,start_point_y,theta_rad,theta_deg,r,end_point_y,Unnamed: 0,Unnamed: 0.1
1185.0,462.8306629097964,158.0,115.0,450.9924147426368,4.0,404.0,104.5685539266278,2.550670185125646,146.14263653755188,242.0,122.2140759629134,1184.0,1184.0
1198.0,378.0387807119022,178.0,114.0,355.55588857645387,4.0,408.0,146.0372223716698,2.3586226065102784,135.13912081718442,255.0,168.6295626295198,1197.0,1197.0
1199.0,372.3401355076196,178.0,114.0,349.8572433721713,4.0,408.0,151.70826060780638,2.3586226065102784,135.13912081718442,255.0,174.30060086565635,1198.0,1198.0
1211.0,555.4303725344888,158.0,106.0,536.5302525551384,4.0,414.0,147.1246954587076,1.3001304538920058,74.49198782444,249.0,141.8803819534371,1210.0,1210.0
1212.0,558.1858235232161,158.0,106.0,539.2857035438657,4.0,414.0,157.05513806703482,1.3001304538920058,74.49198782444,249.0,151.81082456176426,1211.0,1211.0
1213.0,559.0124588198341,158.0,106.0,540.1123388404837,4.0,414.0,160.0342708495329,1.3001304538920058,74.49198782444,249.0,154.7899573442624,1212.0,1212.0
1215.0,137.7470651384983,128.0,68.0,116.16766657913097,4.0,416.0,338.65877432678553,0.8547659468326355,48.974481225013726,171.0,319.8832088607082,1214.0,1214.0
1216.0,144.51848299797456,128.0,68.0,122.9390844386072,4.0,416.0,346.44139611070267,0.8547659468326355,48.974481225013726,171.0,327.6658306446254,1215.0,1215.0
1217.0,148.5813337136603,128.0,68.0,127.001935154293,4.0,416.0,351.110969181053,0.8547659468326355,48.974481225013726,171.0,332.3354037149757,1216.0,1216.0
1218.0,137.28887451608452,137.0,51.0,120.63824071185095,4.0,417.0,422.8224394991249,1.8156248661891383,104.02764201164246,208.0,426.9824421660842,1217.0,1217.0
1219.0,135.8147354491338,137.0,51.0,119.16410164490028,4.0,417.0,428.7227601828742,1.8156248661891383,104.02764201164246,208.0,432.8827628498334,1218.0,1218.0
1245.0,561.4122734067688,175.0,75.0,533.2230505481535,4.0,430.0,185.39956003170167,2.3398174850986333,134.06166672706604,228.0,212.6802702887485,1244.0,1244.0
1246.0,559.3100873140988,175.0,75.0,531.1208644554837,4.0,430.0,187.57175392614948,2.3398174850986333,134.06166672706604,228.0,214.85246418319613,1245.0,1245.0
1259.0,321.8039229008952,136.0,53.0,311.61703700396345,4.0,437.0,389.8256453196413,0.8230417373462582,47.15681791305542,174.0,380.3782145846295,1258.0,1258.0
1260.0,325.93943158030214,136.0,53.0,315.75254568337044,4.0,437.0,394.2848423462748,0.8230417373462582,47.15681791305542,174.0,384.8374116112631,1259.0,1259.0
1278.0,560.2042258803634,158.0,127.0,548.3201998638418,4.0,444.0,264.519915339203,1.140477358716902,65.34453928470612,234.0,259.0650625736031,1277.0,1277.0
1281.0,539.1350135549011,69.0,70.0,521.9836878098496,4.0,446.0,197.83378491485453,1.8755280143785629,107.45983958244324,201.0,203.22836302585003,1280.0,1280.0
1282.0,536.2981841648523,69.0,70.0,519.1468584198008,4.0,446.0,206.8530972597241,1.8755280143785629,107.45983958244324,201.0,212.2476753707196,1281.0,1281.0
1283.0,43.71096948463651,138.0,55.0,28.91077483319156,4.0,447.0,219.1893947175821,0.7705379585816988,44.14857298135757,184.0,203.94266372764068,1282.0,1282.0
1284.0,72.66378360636442,140.0,42.0,66.51149116456156,4.0,448.0,265.5854843909436,0.5677204004734558,32.527982890605934,193.0,255.938719864361,1283.0,1283.0
1285.0,77.04638448823692,140.0,42.0,70.89409204643408,4.0,448.0,268.3805191621027,0.5677204004734558,32.527982890605934,193.0,258.73375463552014,1284.0,1284.0
1303.0,437.5219552615581,134.0,74.0,430.8475104665957,4.0,456.0,229.94296326941296,0.679263995100469,38.918960094451904,214.0,221.6768318538671,1302.0,1302.0
1304.0,438.31609750587,134.0,74.0,431.6416527109077,4.0,456.0,230.5841892919075,0.679263995100469,38.918960094451904,214.0,222.3180578763616,1303.0,1303.0
1318.0,15.320171105689631,92.0,47.0,8.394194206068429,4.0,464.0,366.5284892199125,0.319272227244079,18.29295113682747,182.0,345.5776240362164,1317.0,1317.0
1319.0,24.908818448711877,92.0,47.0,17.982841549090665,4.0,464.0,369.6983225138648,0.319272227244079,18.29295113682747,182.0,348.7474573301687,1318.0,1318.0
1320.0,25.867683183014087,92.0,47.0,18.94170628339289,4.0,464.0,370.01530584326,0.319272227244079,18.29295113682747,182.0,349.0644406595639,1319.0,1319.0
1342.0,268.36601896469114,110.0,57.0,243.1963689938324,4.0,473.0,460.2693726258329,1.6851174059838616,96.55011534690856,223.0,463.159395356834,1341.0,1341.0
1343.0,267.89843578249787,110.0,57.0,242.72878581163909,4.0,473.0,464.3416260727767,1.6851174059838616,96.55011534690856,223.0,467.2316488037778,1342.0,1342.0
1350.0,554.3657435641087,108.0,49.0,549.9977184214092,4.0,476.0,256.9449827933464,2.7498862027695576,157.55687355995178,181.0,267.5200064090903,1349.0,1349.0
1357.0,67.88212064600393,101.0,64.0,51.0255703497316,4.0,480.0,357.97682473844134,2.029176825622569,116.26326799392702,180.0,366.294408739757,1356.0,1356.0
1365.0,512.8456060980785,164.0,103.0,492.7249343601718,4.0,484.0,106.9135177841108,1.898102923537,108.75328660011292,215.0,113.7448526767728,1364.0,1364.0
1366.0,511.8737791193764,164.0,103.0,491.7531073814697,4.0,484.0,109.7758883063803,1.898102923537,108.75328660011292,215.0,116.60722319904232,1365.0,1365.0
1374.0,268.1366667021989,125.0,85.0,249.998766021118,4.0,489.0,480.5840462719373,1.3052081138083511,74.78291630744934,223.0,475.6502799222867,1373.0,1373.0
1375.0,270.7773637435938,125.0,85.0,252.6394630625128,4.0,489.0,490.2919848469037,1.3052081138083511,74.78291630744934,223.0,485.35821849725306,1374.0,1374.0
1376.0,273.41806078498865,125.0,85.0,255.2801601039077,4.0,489.0,499.9999234218701,1.3052081138083511,74.78291630744934,223.0,495.06615707221937,1375.0,1375.0
1377.0,273.68213048912816,125.0,85.0,255.5442298080472,4.0,489.0,500.9707172793667,1.3052081138083511,74.78291630744934,223.0,496.03695092971606,1376.0,1376.0
1378.0,167.2176662823295,124.0,63.0,162.8546858795085,4.0,490.0,60.5703895034432,0.4231755742069669,24.24617439508438,173.0,50.883204984467895,1377.0,1377.0
1383.0,498.6128340103711,163.0,89.0,476.58189289808496,4.0,494.0,195.52303591398012,1.6271661884258968,93.22975516319276,241.0,196.76623407456265,1382.0,1382.0
1384.0,498.4425266892569,163.0,89.0,476.41158557697065,4.0,494.0,198.5410829811522,1.6271661884258968,93.22975516319276,241.0,199.78428114173465,1383.0,1383.0
1390.0,32.28725738024453,105.0,66.0,2.6541245786864502,4.0,497.0,377.8719857869797,2.1383164128215943,122.5165057182312,233.0,396.7623770069506,1389.0,1389.0
1391.0,30.083865147554256,105.0,66.0,0.4507323459961792,4.0,497.0,381.32842106589567,2.1383164128215943,122.5165057182312,233.0,400.21881228586665,1390.0,1390.0
1395.0,492.3849642350904,150.0,98.0,481.7771806266185,4.0,500.0,109.01970793962748,1.5149188482793436,86.79845631122589,219.0,108.42635406889856,1394.0,1394.0
1396.0,492.84944602270025,150.0,98.0,482.2416624142284,4.0,500.0,117.32355920967868,1.5149188482793436,86.79845631122589,219.0,116.73020533894976,1395.0,1395.0
1397.0,318.41945946517416,131.0,53.0,309.87990745194776,4.0,501.0,491.15860592913367,0.6619397212920698,37.92635232210159,210.0,480.1994707815342,1396.0,1396.0
1416.0,582.0700994862202,71.0,72.0,570.8249865816689,4.0,510.0,225.5465616395185,2.531047140364209,145.0183188915253,233.0,241.61718064250945,1415.0,1415.0
1417.0,578.5656154455952,71.0,72.0,567.3205025410438,4.0,510.0,227.99875832850068,2.531047140364209,145.0183188915253,233.0,244.06937733149164,1416.0,1416.0
1430.0,546.9524221176835,112.0,151.0,526.9313724623115,4.0,516.0,88.04991761017784,2.462420787218284,141.0863184928894,217.0,112.85015647591872,1429.0,1429.0
1431.0,542.9078783773684,112.0,151.0,522.8868287219965,4.0,516.0,91.3150478976942,2.462420787218284,141.0863184928894,217.0,116.11528676343508,1430.0,1430.0
1448.0,558.461394943088,111.0,59.0,550.5253957441461,4.0,524.0,259.3108003294408,2.2981114461604206,131.67208671569824,176.0,266.37458533568696,1447.0,1447.0
1449.0,557.0789991886949,111.0,59.0,549.142999989753,4.0,524.0,260.86389001008405,2.2981114461604206,131.67208671569824,176.0,267.9276750163303,1448.0,1448.0
