end_point_x,end_point_y,num_stroke,start_point_y,r,g,num_brush,b,num_physical_stroke,theta_rad,start_point_x,theta_deg,Unnamed: 0,Unnamed: 0.1
620.1019007625201,477.2328753350088,603.0,470.9379840399048,214.0,204.0,5.0,201.0,1732.0,1.6697068162766582,556.6672773145518,95.66715359687804,1731.0,1731.0
619.5994063290273,482.2965918757719,603.0,476.0017005806678,214.0,204.0,5.0,201.0,1733.0,1.6697068162766582,556.1647828810591,95.66715359687804,1732.0,1732.0
531.3075451115993,306.27793724900675,605.0,326.57918990824425,135.0,169.0,5.0,181.0,1737.0,0.5422017724458835,519.0775327797502,31.065873205661774,1736.0,1736.0
532.2425683676216,306.84122002488584,605.0,327.14247268412333,135.0,169.0,5.0,181.0,1738.0,0.5422017724458835,520.0125560357725,31.065873205661774,1737.0,1737.0
343.90293308062064,408.98342153112,606.0,430.4233213179068,89.0,131.0,5.0,132.0,1739.0,0.6097174781860292,328.927197060128,34.934238195419304,1738.0,1738.0
349.8688759224426,413.1506231505761,606.0,434.5905229373628,89.0,131.0,5.0,132.0,1740.0,0.6097174781860292,334.89313990195,34.934238195419304,1739.0,1739.0
353.27798611776944,415.5318812188368,606.0,436.9717810056235,89.0,131.0,5.0,132.0,1741.0,0.6097174781860292,338.3022500972769,34.934238195419304,1740.0,1740.0
71.08634241174063,22.50098067668205,607.0,15.680462273139726,136.0,160.0,5.0,162.0,1742.0,2.5581305523827447,66.58392784488467,146.57008409500122,1741.0,1741.0
65.21549971961704,26.37648779986623,607.0,19.555969396323896,136.0,160.0,5.0,162.0,1743.0,2.5581305523827447,60.713085152761096,146.57008409500122,1742.0,1742.0
59.34465702749347,30.25199492305039,607.0,23.431476519508067,136.0,160.0,5.0,162.0,1744.0,2.5581305523827447,54.84224246063752,146.57008409500122,1743.0,1743.0
53.47381433536989,34.12750204623456,607.0,27.30698364269223,136.0,160.0,5.0,162.0,1745.0,2.5581305523827447,48.971399768513926,146.57008409500122,1744.0,1744.0
47.60297164324632,38.003009169418725,607.0,31.1824907658764,136.0,160.0,5.0,162.0,1746.0,2.5581305523827447,43.10055707639036,146.57008409500122,1745.0,1745.0
46.76427983008581,38.556653044159326,607.0,31.73613464061699,136.0,160.0,5.0,162.0,1747.0,2.5581305523827447,42.26186526322985,146.57008409500122,1746.0,1746.0
104.8083492395306,484.2834396658493,608.0,483.2303104876049,186.0,243.0,5.0,208.0,1748.0,1.7000167935974462,96.7038981687408,97.40378737449646,1747.0,1747.0
103.88162969717072,491.4150939230422,608.0,490.3619647447978,186.0,243.0,5.0,208.0,1749.0,1.7000167935974462,95.77717862638087,97.40378737449646,1748.0,1748.0
103.48446417901648,494.4715171761248,608.0,493.4183879978804,186.0,243.0,5.0,208.0,1750.0,1.7000167935974462,95.38001310822663,97.40378737449646,1749.0,1749.0
212.42774640923847,484.27016538186257,610.0,469.3878934843615,192.0,204.0,5.0,185.0,1754.0,2.6202316823212173,203.87981031678655,150.12821674346927,1753.0,1753.0
209.66920414700007,485.85459033581736,610.0,470.97231843831634,192.0,204.0,5.0,185.0,1755.0,2.6202316823212173,201.12126805454815,150.12821674346927,1754.0,1754.0
427.8277032385031,253.25127821467152,611.0,275.22322724134466,208.0,212.0,5.0,204.0,1756.0,0.8761452423032492,401.4566894343952,50.19942462444306,1755.0,1755.0
432.4194365746997,258.762335201315,611.0,280.7342842279882,208.0,212.0,5.0,204.0,1757.0,0.8761452423032492,406.0484227705918,50.19942462444306,1756.0,1756.0
437.0111699108962,264.27339218795845,611.0,286.2453412146316,208.0,212.0,5.0,204.0,1758.0,0.8761452423032492,410.6401561067884,50.19942462444306,1757.0,1757.0
441.6029032470928,269.784449174602,611.0,291.7563982012752,208.0,212.0,5.0,204.0,1759.0,0.8761452423032492,415.23188944298494,50.19942462444306,1758.0,1758.0
220.85239527005544,33.334972043286015,614.0,83.1148880422017,169.0,191.0,5.0,197.0,1767.0,0.4606865726677613,196.14641559994115,26.395396292209625,1766.0,1766.0
227.30576810698787,36.53780786398917,614.0,86.31772386290484,169.0,191.0,5.0,197.0,1768.0,0.4606865726677613,202.59978843687355,26.395396292209625,1767.0,1767.0
232.83723053864423,39.28309571030616,614.0,89.06301170922183,169.0,191.0,5.0,197.0,1769.0,0.4606865726677613,208.13125086853,26.395396292209625,1768.0,1768.0
411.6582420897639,176.17718240759223,615.0,185.50429503037083,138.0,170.0,5.0,185.0,1770.0,0.3141592700403172,408.62767944136766,18.000000268220898,1769.0,1769.0
418.5792969255429,178.4259694782651,615.0,187.7530821010437,138.0,170.0,5.0,185.0,1771.0,0.3141592700403172,415.54873427714654,18.000000268220898,1770.0,1770.0
