r,start_point_x,b,start_point_y,end_point_y,theta_deg,num_brush,g,num_stroke,end_point_x,num_physical_stroke,theta_rad,Unnamed: 0,Unnamed: 0.1
117.0,16.704530616093567,150.0,225.1267446989344,230.5761094963537,104.85987782478333,4.0,153.0,296.0,37.24261696572572,921.0,1.8301501212814584,920.0,920.0
117.0,14.10505693286488,150.0,234.9238893120149,240.3732541094342,104.85987782478333,4.0,153.0,296.0,34.64314328249702,922.0,1.8301501212814584,921.0,921.0
117.0,11.505583249636192,150.0,244.72103392509547,250.1703987225148,104.85987782478333,4.0,153.0,296.0,32.04366959926833,923.0,1.8301501212814584,922.0,922.0
117.0,10.985688512990452,150.0,246.6804628477116,252.1298276451309,104.85987782478333,4.0,153.0,296.0,31.5237748626226,924.0,1.8301501212814584,923.0,923.0
190.0,348.1991746060041,221.0,476.7642049268471,472.37686946168577,86.50255501270294,4.0,215.0,297.0,419.98400902422986,925.0,1.5097543963591915,924.0,924.0
190.0,348.81223490011007,221.0,486.7949928732559,482.4076574080944,86.50255501270294,4.0,215.0,297.0,420.597069318336,926.0,1.5097543963591915,925.0,925.0
190.0,349.4252951942162,221.0,496.8257808196644,492.43844535450296,86.50255501270294,4.0,215.0,297.0,421.210129612442,927.0,1.5097543963591915,926.0,926.0
190.0,349.79313137067976,221.0,502.8442535875096,498.4569181223481,86.50255501270294,4.0,215.0,297.0,421.5779657889057,928.0,1.5097543963591915,927.0,927.0
174.0,396.54234102313904,206.0,146.17542576794364,137.04565986151374,74.5747447013855,4.0,198.0,300.0,429.6307723486184,937.0,1.3015748338733724,936.0,936.0
174.0,399.2300664010783,206.0,155.91637832917618,146.78661242274626,74.5747447013855,4.0,198.0,300.0,432.3184977265576,938.0,1.3015748338733724,937.0,937.0
174.0,401.9177917790177,206.0,165.6573308904087,156.52756498397878,74.5747447013855,4.0,198.0,300.0,435.00622310449694,939.0,1.3015748338733724,938.0,938.0
174.0,404.60551715695686,206.0,175.39828345164125,166.26851754521132,74.5747447013855,4.0,198.0,300.0,437.6939484824362,940.0,1.3015748338733724,939.0,939.0
174.0,407.29324253489614,206.0,185.1392360128737,176.0094701064438,74.5747447013855,4.0,198.0,300.0,440.38167386037554,941.0,1.3015748338733724,940.0,940.0
137.0,530.3465726020614,151.0,225.58029803337104,223.59496889416363,86.02005779743195,4.0,156.0,301.0,558.8816522228368,942.0,1.5013332313210088,941.0,941.0
137.0,530.6310735973184,151.0,229.66942279939525,227.68409366018784,86.02005779743195,4.0,156.0,301.0,559.1661532180938,943.0,1.5013332313210088,942.0,942.0
