b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
194.0,66.0,16.225946712860893,6.0,1.0,509.2360597328195,161.9999957084656,-23.054514446952528,2.8274333133294083,196.0,188.0,388.3432618993206,65.0,65.0
175.0,67.0,289.03710041914786,7.0,1.0,201.10838274964505,44.655226171016686,241.361780610287,0.7793807249069817,203.0,194.0,249.36094968380863,66.0,66.0
175.0,68.0,303.37243366970813,7.0,1.0,215.27222191325984,44.655226171016686,255.6971138608472,0.7793807249069817,203.0,194.0,263.52478884742345,67.0,67.0
175.0,69.0,317.70776692026817,7.0,1.0,229.4360610768747,44.655226171016686,270.0324471114073,0.7793807249069817,203.0,194.0,277.6886280110383,68.0,68.0
175.0,70.0,332.0431001708284,7.0,1.0,243.5999002404895,44.655226171016686,284.3677803619675,0.7793807249069817,203.0,194.0,291.8524671746532,69.0,69.0
175.0,71.0,346.3784334213885,7.0,1.0,257.7637394041044,44.655226171016686,298.7031136125277,0.7793807249069817,203.0,194.0,306.01630633826795,70.0,70.0
175.0,72.0,360.7137666719487,7.0,1.0,271.92757856771914,44.655226171016686,313.0384468630878,0.7793807249069817,203.0,194.0,320.18014550188275,71.0,71.0
175.0,73.0,367.8814332972288,7.0,1.0,279.00949814952656,44.655226171016686,320.20611348836786,0.7793807249069817,203.0,194.0,327.2620650836902,72.0,72.0
182.0,74.0,97.51834370234316,8.0,1.0,181.6993661427386,30.699014067649845,69.14645600504862,0.5357988725965471,212.0,192.0,229.4849440592116,73.0,73.0
182.0,75.0,114.78367264426991,8.0,1.0,191.950366447756,30.699014067649845,86.41178494697539,0.5357988725965471,212.0,192.0,239.73594436422897,74.0,74.0
182.0,76.0,132.04900158619662,8.0,1.0,202.2013667527733,30.699014067649845,103.67711388890211,0.5357988725965471,212.0,192.0,249.9869446692464,75.0,75.0
182.0,77.0,149.31433052812343,8.0,1.0,212.45236705779067,30.699014067649845,120.94244283082888,0.5357988725965471,212.0,192.0,260.2379449742637,76.0,76.0
182.0,78.0,166.57965947005016,8.0,1.0,222.703367362808,30.699014067649845,138.20777177275562,0.5357988725965471,212.0,192.0,270.48894527928104,77.0,77.0
182.0,79.0,170.89599170553188,8.0,1.0,225.2661174390624,30.699014067649845,142.52410400823732,0.5357988725965471,212.0,192.0,273.0516953555354,78.0,78.0
172.0,125.0,541.3014264257611,18.0,1.0,251.9584695843625,107.00036644935608,481.1223052184588,1.867508695381738,201.0,199.0,233.559444980571,124.0,124.0
172.0,126.0,535.409334160962,18.0,1.0,271.2301941569185,107.00036644935608,475.2302129536597,1.867508695381738,201.0,199.0,252.83116955312695,125.0,125.0
